CITY,DISTRICT_ID,DIVISION,STATE_ABBREV
New Haven,52,New England,CT
Yonkers,76,Middle Atlantic,NY
Rochester,75,Middle Atlantic,NY
Nashville,11,East South Central,TN
Denver,7,Mountain,CO
Minneapolis,23,West North Central,MN
Somerville,71,New England,MA
Louisville,15,East South Central,KY
Birmingham,32,East South Central,AL
Charlotte,4,South Atlantic,NC
Columbus,3,East North Central,OH
Omaha,21,West North Central,NE
Salt Lake City,33,Mountain,UT
Milwaukee,17,East North Central,WI
Houston,54,West South Central,TX
Fall River,61,New England,MA
Manchester,41,New England,NH
Hartford,53,New England,CT
Cranston,68,New England,RI
Baltimore,16,South Atlantic,MD
Brockton,58,New England,MA
Honolulu,26,Pacific,HI
Wichita,25,West North Central,KS
Anchorage,28,Pacific,AK
Boise,30,Mountain,ID
Newark,29,Middle Atlantic,NJ
Norwalk,63,New England,CT
Lynn,60,New England,MA
Billings,42,Mountain,MT
Atlanta,19,South Atlantic,GA
Albuquerque,18,Mountain,NM
Philadelphia,72,Middle Atlantic,PA
Providence,36,New England,RI
Lowell,55,New England,MA
San Antonio,27,West South Central,TX
Cheyenne,45,Mountain,WY
Seattle,6,Pacific,WA
Danbury,67,New England,CT
Bridgeport,38,New England,CT
New Bedford,57,New England,MA
Kansas City,20,West North Central,MO
Fargo,40,West North Central,ND
Burlington,49,New England,VT
New Orleans,24,West South Central,LA
Des Moines,31,West North Central,IA
Newton,65,New England,MA
Sioux Falls,35,West North Central,SD
Virginia Beach,22,South Atlantic,VA
Lawrence,69,New England,MA
Charleston,47,South Atlantic,WV
Chicago,74,East North Central,IL
Portland,44,New England,ME
Portland,12,Pacific,OR
Phoenix,64,Mountain,AZ
Los Angeles,70,Pacific,CA
Little Rock,34,West South Central,AR
Quincy,59,New England,MA
New York City,1,Middle Atlantic,NY
Nashua,62,New England,NH
Indianapolis,5,East North Central,IN
Syracuse,77,Middle Atlantic,NY
Washington,8,South Atlantic,DC
Charleston,39,South Atlantic,SC
Oklahoma City,13,West South Central,OK
Jackson,37,East South Central,MS
Springfield,51,New England,MA
New Britain,73,New England,CT
Cambridge,56,New England,MA
Worcester,48,New England,MA
Jacksonville,2,South Atlantic,FL
Detroit,10,East North Central,MI
Wilmington,43,South Atlantic,DE
Boston,9,New England,MA
Warwick,66,New England,RI
Buffalo,50,Middle Atlantic,NY
